EmplID,Gender,Primary Nat,Other Nationality,English Level ( 6 is fluent),Last Job Domain Description,Last Job Title 1,Section,Study Group
857817,Female,Albanian,,5,Consulting,Lean Navigator,1,1
848064,Male,Brazilian,Portuguese,5,Business Dev./Corporate Plan.,manager,1,1
852548,Male,Egyptian,Canadian,5,Other,Cards Business Analytics Unit Head,1,1
852551,Male,Indian,,5,Finance,Investment Analyst,1,1
852196,Female,Norwegian,,5,Sales & Marketing,Brand and Customer manager Cardiovascular Disease,1,1
852232,Female,Thai,,5,Project Management,Planning and Cost Control Engineer,1,1
852447,Female,American,,6,Consulting,Senior Associate,1,2
851976,Male,Brazilian,Portuguese,5,Logistics / Purchasing,Strategic Sourcing Coordinator,1,2
851843,Male,Filipino,Spanish,5,Manufacturing&Prod./Operations,Economic Model Coordinator,1,2
823581,Male,Indian,,5,General Management,Executive Director,1,2
843726,Female,Pakistani,,5,Sales & Marketing,"Brand Manager, Beauty, Grooming & Batteries",1,2
847560,Male,Tunisian,French,5,Finance,Finance Manager,1,2
851822,Female,American,Belgian,6,Finance,Financial Analyst,1,3
851818,Male,Brazilian,Italian,5,Project Management,Project Manager,1,3
857373,Female,French,,5,Consulting,Business Analytics Associate Consultant,1,3
847669,Male,Indian,,5,General Management,Senior Manager,1,3
840358,Male,Pakistani,,5,General Management,Manager,1,3
857634,Female,Turkish,,5,Sales & Marketing,Digital Customer Experience Assistant Manager,1,3
857575,Female,American,Pakistani,6,Other,Market Manager Associate,1,4
847675,Male,British,,6,Consulting,Senior Consultant,1,4
847743,Male,French,,5,Business Dev./Corporate Plan.,Deputy director region Ibero America,1,4
852352,Male,Indian,,5,Product Development,Senior Solution Architect,1,4
851834,Male,Peruvian,,5,Product Development,Product Manager,1,4
812485,Male,Turkish,,5,General Management,Co-founder and CEO,1,4
857423,Female,American,,6,Project Management,U.S. and World Care Coordinator,1,5
835084,Male,British,,6,Other,Associate,1,5
847444,Male,French,,5,Engineering,Head Estimator,1,5
857651,Female,Irish,,5,Business Dev./Corporate Plan.,Head of Business Development,1,5
851796,Female,Portuguese,,5,Product Development,Officer Senior of Products,1,5
857265,Male,American,,6,Consulting,Consultant,1,6
857292,Female,Canadian,,5,Communication / PR,Consultant,1,6
852100,Male,French,,5,Finance,Vice President - Trader,1,6
857263,Female,Italian,,5,Consulting,Business Analyst,1,6
847925,Male,Portuguese,Brazilian,5,Engineering,Software Engineer,1,6
852296,Male,American,,6,Consulting,Manager,1,7
852287,Female,Canadian,,6,Sales & Marketing,Client Manager,1,7
857695,Male,French,,5,Project Management,Digital Project Manager and Digital Consultant,1,7
843769,Male,Italian,,5,Consulting,Consultant 1,1,7
857612,Female,Russian,,5,Accounting & Control,Manager,1,7
857617,Male,American,Palestinian,6,Consulting,Senior Advisor,1,8
828821,Male,Canadian,Pakistani,5,Communication / PR,Co-Founder and Diplomatic Consultant,1,8
852439,Male,French,,5,Sales & Marketing,Product Line Manager,1,8
857047,Female,Japanese,,5,Project Management,Project Manager,1,8
847945,Female,Russian,Belgian,5,Public Relations,Press & PR Manager,1,8
852281,Male,American,,6,General Management,"Purchasing, Sales, and Quality Manager",1,9
851932,Male,Canadian,British,6,Consulting,Manager,1,9
847227,Male,German,,5,Consulting,Associate,1,9
857677,Female,Jordanian,American,5,Manufacturing&Prod./Operations,Head of Operations,1,9
787599,Male,Russian,,5,Project Management,Project Director,1,9
856807,Male,American,,6,Product Development,"Director, Product Management",1,10
852158,Male,Chilean,,5,Consulting,Senior Consultant,1,10
852204,Male,German,,5,Project Management,"Project Manager, Supply Chain Engineering",1,10
840125,Male,Korean,,5,Consulting,Senior Consultant,1,10
847013,Male,Singaporean,,6,Business Dev./Corporate Plan.,Founder / Director,1,10
852228,Female,Australian,,6,Research & Development,Program Quality Lead,1,11
852110,Female,Chinese,,5,Product Development,International Marketing Project Manager,1,11
852559,Female,Indian,,5,Business Dev./Corporate Plan.,Manager,1,11
855293,Male,Lebanese,,5,Consulting,Assistant Manager,1,11
847885,Female,South African,Polish,6,Customer Service,Manager,1,11
851871,Male,Australian,,6,Legal,Lawyer,1,12
847056,Male,Chinese,,5,Business Dev./Corporate Plan.,Mergers and Acquisitions Manager,1,12
852351,Female,Indian,,5,Finance,Associate,1,12
856501,Male,Lebanese,,5,Project Management,Head of Budget and Cost Control,1,12
851816,Male,Spanish,,5,Consulting,Associate,1,12
847827,Female,Azerbaijani,,5,Legal,Associate Attorney,1,13
835245,Male,Chinese,,5,Consulting,Associate Consultant,1,13
851970,Female,Indian,,5,Human Resource Management,VP HR,1,13
840005,Male,Mexican,,5,Finance,Senior Financial Analyst,1,13
846850,Male,Spanish,,5,Engineering,Installation Strategy Manager,1,13
852031,Male,Belgian,,5,Finance,Fixed Income Evaluator,1,14
843811,Male,Chinese,,5,Sales & Marketing,Customer Office Manager,1,14
857539,Female,Indian,,5,Other,Senior Auditor,1,14
840275,Male,New Zealander,South African,6,Accounting & Control,Credit Manager,1,14
852105,Male,Swedish,,5,Other,Investment Analyst,1,14
847820,Female,Brazilian,,5,Business Dev./Corporate Plan.,Business Analyst,1,15
847947,Male,Dutch,,5,Consulting,Fellow,1,15
847186,Male,Indian,,5,Consulting,Marketing Specialist,1,15
851770,Female,Nigerian,,6,Finance,Agent Lending Sales Support Associate,1,15
851942,Male,Swiss,,5,Consulting,Fellow,1,15
852253,Female,American,Polish,6,Communication / PR,Account Supervisor,2,1
852241,Male,Brazilian,,5,Finance,Private Equity Associate,2,1
